id,building_id,floor1_id,floor2_id,space_id,lat,lon,timestamp_epoch,phone,gps_lat,gps_lon,gps_accuracy,ori_x,ori_y,ori_z,AP_0001,AP_0002,AP_0003,AP_0004,AP_0005,AP_0006,AP_0007,AP_0008,AP_0009,AP_0010,AP_0011,AP_0012,AP_0013,AP_0014,AP_0015,AP_0016,AP_0017,AP_0018,AP_0019,AP_0020,AP_0021,AP_0022,AP_0023,AP_0024,AP_0025,AP_0026,AP_0027,AP_0028,AP_0029,AP_0030,AP_0031,AP_0032,AP_0033,AP_0034,AP_0035,AP_0036,AP_0037,AP_0038,AP_0039,AP_0040,AP_0041,AP_0042,AP_0043,AP_0044,AP_0045,AP_0046,AP_0047,AP_0048,AP_0049,AP_0050,AP_0051,AP_0052,AP_0053,AP_0054,AP_0055,AP_0056,AP_0057,AP_0058,AP_0059,AP_0060,AP_0061,AP_0062,AP_0063,AP_0064,AP_0065,AP_0066,AP_0067,AP_0068,AP_0069,AP_0070,AP_0071,AP_0072,AP_0073,AP_0074,AP_0075,AP_0076,AP_0077,AP_0078,AP_0079,AP_0080,AP_0081,AP_0082,AP_0083,AP_0084,AP_0085,AP_0086,AP_0087,AP_0088,AP_0089,AP_0090,AP_0091,AP_0092,AP_0093,AP_0094,AP_0095,AP_0096,AP_0097,AP_0098,AP_0099,AP_0100,AP_0101,AP_0102,AP_0103,AP_0104
1,1,4,4,,36.312633,59.5263441,1765436417007,HONOR/ALI-NX1,36.3126519,59.5263143,5.635,61.5102,-40.1868,1.86978,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-75,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-93,-73,-100,-65
2,1,4,4,,36.312633,59.5263441,1765436425108,HONOR/ALI-NX1,36.3126521,59.5263181,5.911,93.1206,-84.6669,-7.5989,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-78,-100,-74
3,1,4,4,,36.312633,59.5263441,1765436433220,HONOR/ALI-NX1,36.3126523,59.5263146,5.443,204.712,-83.1644,-168.86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-93,-71,-100,-74
4,1,4,4,,36.312633,59.5263441,1765436441329,HONOR/ALI-NX1,36.3126508,59.5262899,7.504,61.0047,-45.8664,0.441437,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-83,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-74,-100,-73
5,1,4,4,,36.312633,59.5263441,1765436448421,HONOR/ALI-NX1,36.3126502,59.5263298,7.173,192.06,-87.7085,-48.4337,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-74,-100,-77
6,1,4,4,,36.3126358,59.5263562,1765436468723,HONOR/ALI-NX1,36.3126513,59.5262808,4.441,66.9031,-45.7243,-2.58469,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-75,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-75,-100,-71
7,1,4,4,,36.3126358,59.5263562,1765436472774,HONOR/ALI-NX1,36.3126498,59.5262832,6.133,58.953,-85.9963,-9.59639,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-74,-93,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-69,-100,-78
8,1,4,4,,36.3126358,59.5263562,1765436479862,HONOR/ALI-NX1,36.3126457,59.5262935,7.605,50.9222,-88.0438,49.3948,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-90,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-91,-70,-100,-83
9,1,4,4,,36.3126358,59.5263562,1765436487989,HONOR/ALI-NX1,36.31264,59.5262943,5.401,158.698,-84.4631,-26.0076,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-79,-100,-74
10,1,4,4,,36.3126358,59.5263562,1765436496128,HONOR/ALI-NX1,36.3126351,59.5263025,3.989,76.5498,-51.0261,1.5267,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-91,-67,-100,-74
11,1,4,4,,36.3126387,59.5263682,1765436503216,HONOR/ALI-NX1,36.3126318,59.5263052,3.84,63.9568,-56.341,-4.17827,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-91,-67,-100,-74
12,1,4,4,,36.3126387,59.5263682,1765436504232,HONOR/ALI-NX1,36.3126318,59.5263052,3.84,38.7002,-87.903,-34.3504,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-92,-77,-100,-72
13,1,4,4,,36.3126387,59.5263682,1765436512338,HONOR/ALI-NX1,36.312633,59.5263098,6.576,12.7856,-86.7472,-35.4954,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-85,-100,-100,-73,-89,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-69
